ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address,Latitude,Longtitude,Metro Proximity
5487062,https://bina.az/items/5487062,174.0,8 Noyabr m.,4.0,5.0,16.0,True,535000,AZN,Cəlil Məmmədquluzadə küç.,40.3835371,49.8319492,True
5475332,https://bina.az/items/5475332,77.0,Qara Qarayev m.,,,,True,193000,AZN,Əli Vəliyev küçəsi,40.4068121,49.9414494,True
5922044,https://bina.az/items/5922044,84.0,Nardaran q.,2.0,4.0,4.0,True,455000,AZN,Nardaran qəs.Sea Breeze,40.5588769,50.0065319,False
5923841,https://bina.az/items/5923841,189.0,Şah İsmayıl Xətai m.,4.0,11.0,16.0,True,650000,AZN,S.Senyuşkin küç.,40.6940299,46.3782768,False
5640153,https://bina.az/items/5640153,3.0,Hövsan q.,,,,,40000,AZN,Hövsan qəsəbəsi,40.3734647,50.0958512,False
5921882,https://bina.az/items/5921882,900.0,Nardaran q.,8.0,,,,3400000,AZN,Sea Breeze Resort,40.5588769,50.0065319,False
5952313,https://bina.az/items/5952313,700.0,Qaradağ r.,,,,True,1400000,AZN,Lökbatan qəsəbəsi,40.6079721,45.8083158,False
5952312,https://bina.az/items/5952312,100.0,Memar Əcəmi m.,4.0,9.0,9.0,True,210000,AZN,Mir Cəlal küçəsi,40.4131444,49.8031769,True
5902872,https://bina.az/items/5902872,85.0,Əhmədli m.,3.0,4.0,9.0,True,186000,AZN,Sarayevo küçəsi.,40.3865325,49.9569045,True
5893883,https://bina.az/items/5893883,108.0,Nizami m.,3.0,4.0,14.0,,354000,AZN,Mərkəzi küçəsi,40.745565,48.0356408,False
5952310,https://bina.az/items/5952310,100.0,İnşaatçılar m.,4.0,6.0,9.0,True,185000,AZN,Dadaş Bünyadzadə küç.,40.3900496,49.7990191,True
5952308,https://bina.az/items/5952308,750.0,Novxanı q.,10.0,,,True,2900000,AZN,Novxanı qəs.,40.5326906,49.7823494,False
5922447,https://bina.az/items/5922447,58.0,Hövsan q.,2.0,6.0,9.0,True,105000,AZN,Hövsan qəsəbəsi,40.3734647,50.0958512,False
5949985,https://bina.az/items/5949985,94.0,Binəqədi q.,3.0,11.0,15.0,,180000,AZN,Binə qəsəbəsi,40.4679226,49.828023,False
5901330,https://bina.az/items/5901330,90.0,Köhnə Günəşli q.,4.0,4.0,5.0,True,178000,AZN,Mehmandarov küçəsi,40.4250561,49.9592445,False
5919017,https://bina.az/items/5919017,108.0,Nəsimi r.,3.0,4.0,16.0,True,335000,AZN,Vaqif prospekti,40.391774,49.8404513,True
5854809,https://bina.az/items/5854809,105.0,Həzi Aslanov m.,4.0,2.0,5.0,True,206000,AZN,Gəncə Prospekti,40.3561069,49.9616205,False
5930037,https://bina.az/items/5930037,117.0,Şah İsmayıl Xətai m.,2.0,10.0,19.0,True,449500,AZN,A.Cəlilov küç,41.1789819,47.1630807,False
