ID,Path,Area,Location,Rooms,Floor,Floors,Repaired,Price,Currency,address
5454256,https://bina.az/items/5454256,201.0,Gənclik m.,,,,,125000,AZN,Aşıq Alı küçəsi
5952544,https://bina.az/items/5952544,130.0,Mərdəkan q.,4.0,,,True,185000,AZN,Mərdəkan qəsəbəsi
5947897,https://bina.az/items/5947897,105.0,İnşaatçılar m.,3.0,3.0,17.0,True,300000,AZN,Həsənbəy Zərdabi prospekti
5950023,https://bina.az/items/5950023,60.0,NZS q.,2.0,,,True,52000,AZN,Aşıq Qurban küçəsi
5915584,https://bina.az/items/5915584,48.0,20 Yanvar m.,2.0,3.0,20.0,True,165000,AZN,Həsən Bəy Zərdabi küçəsi
5952537,https://bina.az/items/5952537,98.0,,3.0,7.0,13.0,True,176500,AZN,36-cı Məhəllə
5508314,https://bina.az/items/5508314,184.0,Qara Qarayev m.,4.0,14.0,17.0,True,410000,AZN,Şirin Mirzəyev küçəsi
5732463,https://bina.az/items/5732463,112.0,İçəri Şəhər m.,3.0,6.0,14.0,,462000,AZN,İsmayıl bəy Qutqaşınlı küç.
5952542,https://bina.az/items/5952542,46.0,Elmlər Akademiyası m.,2.0,2.0,9.0,True,149000,AZN,Müstəqillik küçəsi
5796055,https://bina.az/items/5796055,155.0,Elmlər Akademiyası m.,3.0,7.0,17.0,True,375000,AZN,Mirəli Seyidov küç.
5896604,https://bina.az/items/5896604,85.0,Həzi Aslanov m.,2.0,1.0,20.0,,185000,AZN,Xətai pr.
4597037,https://bina.az/items/4597037,329.0,,8.0,,,True,180000,AZN,Altıağac qəs.
5903289,https://bina.az/items/5903289,107.0,Koroğlu m.,2.0,7.0,16.0,,305000,AZN,Böyükşor qəs.
5555175,https://bina.az/items/5555175,100.0,Memar Əcəmi m.,4.0,8.0,18.0,True,219000,AZN,Adil Məmmədov küç.
5814919,https://bina.az/items/5814919,163.0,Nəsimi r.,3.0,9.0,17.0,True,360000,AZN,Nəsib bəy Yusifbəyli küç
5860905,https://bina.az/items/5860905,85.0,Xalqlar Dostluğu m.,3.0,6.0,14.0,True,205000,AZN,Məzahir Rüstəmov küçəsi
5830284,https://bina.az/items/5830284,94.0,İnşaatçılar m.,2.0,20.0,24.0,True,265000,AZN,"Həsən Bəy Zərdabi 593, 2 korpus, 111 mənzil"
5691522,https://bina.az/items/5691522,54.0,Masazır q.,2.0,1.0,6.0,True,79500,AZN,İstiqlaliyyət küçəsi
5952538,https://bina.az/items/5952538,70.0,Köhnə Günəşli q.,3.0,4.0,9.0,True,134000,AZN,İnqilab ismayılov küçəsi
5847072,https://bina.az/items/5847072,47.0,Neftçilər m.,2.0,2.0,16.0,True,150000,AZN,Məhsəti Gəncəvi küç
5952539,https://bina.az/items/5952539,80.0,Saray q.,3.0,,,True,66000,AZN,Saray qes
5848437,https://bina.az/items/5848437,700.0,Fatmayı q.,,,,True,2000000,AZN,Fatmayı kəndi
5870932,https://bina.az/items/5870932,9.5,Badamdar q.,,,,,1133000,AZN,Badamdar qəsəbəsi
